2017-08-24 20:04:41,965 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-08-24 20:04:41,971 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-08-24 20:04:42,187 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-08-24 20:04:42,217 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-08-24 20:04:42,342 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-08-24 20:04:42,345 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-08-24 20:04:42,345 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-08-24 20:04:42,399 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-08-24 20:04:42,399 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-08-24 20:04:42,402 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.437 seconds
2017-08-24 20:04:43,414 | INFO | CamelLogger.java 159 | Received Message is Hi
How are you
2017-08-24 20:04:43,427 | INFO | CamelLogger.java 159 | Received Message is Goodbye
2017-08-24 20:04:47,408 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-08-24 20:04:47,409 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-08-24 20:04:47,412 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-08-24 20:04:47,412 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-08-24 20:04:47,429 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.467 seconds
2017-08-24 20:04:47,430 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.021 seconds
2017-08-24 20:13:14,552 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-08-24 20:13:14,556 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-08-24 20:13:14,811 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-08-24 20:13:14,843 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-08-24 20:13:15,013 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-08-24 20:13:15,023 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-08-24 20:13:15,023 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-08-24 20:13:15,076 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-08-24 20:13:15,076 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-08-24 20:13:15,078 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.527 seconds
